Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.724,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165538.2711,-154093.2168
0.728,4069.313892,-10245.9726,-178078.9856,-178041.3676,6403.148938,90659.63664,18547.99164,35978.88779
0.732,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165545.379,-154096.9272
0.736,4891.88044,-11470.33411,-176618.7014,-176583.9892,5475.618598,89671.48837,18114.43485,36232.80361
0.74,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165529.4645,-154090.1547
0.744,3833.435933,-10181.10784,-178147.8737,-178113.4743,6527.514044,90761.15826,18528.79149,35945.33783
0.748,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165554.2303,-154105.4656
0.752,5105.585468,-11548.74403,-176582.5139,-176524.0641,5311.422683,89535.70152,18082.09188,36282.0445
0.756,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165520.5909,-154085.7961
0.76,3643.781381,-10106.16244,-178165.688,-178154.3557,6657.064755,90866.32322,18502.95287,35887.22329
0.764,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165563.4392,-154114.8086
0.768,5285.986398,-11566.3125,-176602.6976,-176529.3615,5211.420978,89460.66671,18095.27941,36299.2777
0.772,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165512.1196,-154082.1974
0.776,3520.466807,-10071.78546,-178122.5715,-178121.141,6755.323023,90942.45326,18496.33676,35838.94352
0.78,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165574.0786,-154125.8951
0.784,5407.378722,-11533.88012,-176674.4243,-176583.2515,5165.376385,89434.20225,18142.10631,36311.99584
0.788,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165505.3247,-154078.2188
0.792,3460.765298,-10177.88919,-177989.0869,-178002.2073,6742.694288,90878.46021,18435.04827,35823.54317
0.796,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165578.8172,-154131.3713
